scientific_name,city,state,count,mean
Melaleuca quinquenervia,San Jose,California,84,336.5204457142857
Acer negundo,Garden Grove,California,3,328.084
Washingtonia robusta,Garden Grove,California,1788,278.40349496644296
Corymbia maculata,San Jose,California,42,271.8410285714286
Ceiba pentandra,Honolulu,Hawaii,3,259.18636
Araucaria heterophylla,Kaneohe,Hawaii,39,254.39128615384615
Grevillea robusta,Garden Grove,California,48,248.113525
Eucalyptus globulus,San Jose,California,543,245.62797149171274
Pinus canariensis,Garden Grove,California,3147,245.09344766444235
Araucaria heterophylla,Honolulu,Hawaii,108,241.87081555555557
Pinus halepensis,Garden Grove,California,222,240.07768378378378
Eucalyptus cladocalyx,Garden Grove,California,6,237.8609
Afrocarpus usambarensis,Honolulu,Hawaii,6,236.22047999999998
Eucalyptus deglupta,Honolulu,Hawaii,3,232.93963999999997
Platanus racemosa,Garden Grove,California,315,232.4709485714286
Eucalyptus globulus,Garden Grove,California,279,224.543511827957
Araucaria columnaris,Kaneohe,Hawaii,96,223.50722499999998
Populus alba,Sioux Falls,South Dakota,177,222.4854379661017
Morus,Albuquerque,New Mexico,12,222.27691000000002
Torreya californica,San Jose,California,3,213.2546
Melaleuca,Garden Grove,California,6,213.2546
Casuarina equisetifolia,Kaneohe,Hawaii,3,213.2546
Sophora japonica,Garden Grove,California,6,213.2546
Araucaria columnaris,Honolulu,Hawaii,69,211.11492173913044
Carya illinoinensis,Garden Grove,California,9,207.78653333333332
Agathis macrophylla,Kailua,Hawaii,3,206.69292
Corymbia citriodora,Garden Grove,California,399,204.25079097744361
Populus hybrid,Sioux Falls,South Dakota,33,203.41208
Eucalyptus camaldulensis,Garden Grove,California,33,202.81556363636363
Populus deltoides,Oklahoma City,Oklahoma,792,202.2936118181818
Pinus ponderosa,San Jose,California,15,202.09974400000002
Ulmus pumila,Albuquerque,New Mexico,564,200.75948595744683
Eucalyptus leucoxylon,San Jose,California,15,200.13124000000002
Casuarina equisetifolia,Kailua,Hawaii,1032,198.80555174418603
Populus deltoides,Sioux Falls,South Dakota,1536,198.702280390625
Sambucus,Albuquerque,New Mexico,6,198.49082
Populus acuminata,Albuquerque,New Mexico,3,196.8504
Eucalyptus nicholii,Garden Grove,California,6,196.8504
Araucaria columnaris,Garden Grove,California,3,196.8504
Eucalyptus cladocalyx,San Jose,California,3,196.8504
Fraxinus uhdei,Garden Grove,California,87,194.0220896551724
Spathodea campanulata,Kaneohe,Hawaii,72,191.10893
Corymbia citriodora,San Jose,California,3,190.28872
Sabal palmetto,Garden Grove,California,6,188.64829999999998
Livistona chinensis,Garden Grove,California,6,188.64829999999998
Araucaria heterophylla,Kailua,Hawaii,21,186.07049714285714
Populus balsamifera,Baltimore,Maryland,12,185.91426666666666
Ulmus rubra,Sioux Falls,South Dakota,15,182.414704
Ulmus parvifolia,Seffner,Florida,3,180.4462
Eucalyptus parvifolia,San Jose,California,3,180.4462
Zelkova sinica,Baltimore,Maryland,2,180.4462
Ficus benghalensis,Kailua,Hawaii,6,180.4462
Tilia europaea,Baltimore,Maryland,2,180.4462
Eucalyptus crebra,San Jose,California,6,180.4462
Acer saccharinum,Sioux Falls,South Dakota,12981,179.71830390570832
Eucalyptus melliodora,San Jose,California,180,179.62599
Eucalyptus viminalis,San Jose,California,102,178.51629411764705
Prosopis pallida,Kailua,Hawaii,3,177.16536
Aesculus,San Jose,California,9,174.97813333333335
Fraxinus pennsylvanica,Durham,North Carolina,18,174.97813333333335
Eucalyptus sideroxylon,San Jose,California,2298,174.7539854308094
Ulmus procera,San Jose,California,288,174.67055458333334
Populus deltoides,Pittsburgh,Pennsylvania,20,173.228352
Pinus canariensis,San Jose,California,4740,172.8566618987342
Eucalyptus polyanthemos,San Jose,California,4458,172.26065874831764
Eucalyptus grandis,Tampa,Florida,6,170.60368
Sequoia sempervirens,San Jose,California,7653,170.25643311642494
Ulmus parvifolia,Garden Grove,California,1776,168.3093087837838
Eucalyptus,Garden Grove,California,129,167.85693023255814
Platanus occidentalis,Sioux Falls,South Dakota,36,166.22922666666668
Sequoia sempervirens,Santa Rosa,California,609,166.06222167487684
Populus deltoides,Albuquerque,New Mexico,153,165.39293411764706
Eucalyptus citriodora,San Jose,California,183,164.95633245901638
Eucalyptus camaldulensis,San Jose,California,468,164.9253030769231
Populus nigra,San Jose,California,486,164.54830246913582
Ulmus rubra,Garden Grove,California,9,164.042
Abies balsamea,Baltimore,Maryland,8,164.042
Populus,Santa Rosa,California,3,164.042
Fraxinus quadrangulata,Baltimore,Maryland,4,164.042
Melaleuca quinquenervia,Tampa,Florida,102,163.9937523529412
Andira inermis,Kailua,Hawaii,21,162.16723428571427
Juglans nigra,Sioux Falls,South Dakota,1827,161.20291513957307
Syzygium cumini,Kaneohe,Hawaii,36,160.48775666666666
Araucaria columnaris,Kailua,Hawaii,39,159.75167076923077
Tabebuia,Kailua,Hawaii,18,159.66754666666668
Ficus macrophylla,Kailua,Hawaii,9,158.57393333333334
Pinus ponderosa,Albuquerque,New Mexico,126,158.10524190476193
Carya aquatica,Tampa,Florida,3,157.48032
Archontophoenix alexandrae,Kaneohe,Hawaii,3,157.48032
Swietenia mahagoni,Kailua,Hawaii,3,157.48032
Abies firma,Baltimore,Maryland,4,155.8399
Ficus macrophylla,Garden Grove,California,21,154.66817142857144
Platanus wrightii,Albuquerque,New Mexico,123,154.43954146341466
Ulmus alata,Baltimore,Maryland,10,154.19948
Lagerstroemia indica,Kailua,Hawaii,42,154.19948
Tabebuia pallida,Kailua,Hawaii,3,154.19948
Peltophorum pterocarpum,Kailua,Hawaii,3,154.19948
Quercus incana,Temple Terrace,Florida,3,154.19948
Casuarina equisetifolia,San Jose,California,48,153.789375
Washingtonia filifera,Garden Grove,California,417,153.30255971223022
Albizia lebbeck,Kaneohe,Hawaii,51,153.23452705882352
Eucalyptus maculata,Garden Grove,California,30,152.55906000000002
Enterolobium cyclocarpum,Honolulu,Hawaii,24,152.55906
Platanus occidentalis,Temple Terrace,Florida,3,152.55906
Juglans nigra,Oklahoma City,Oklahoma,69,152.48773739130434
Eucalyptus,Kailua,Hawaii,135,152.230976
Ficus microcarpa,Kaneohe,Hawaii,66,151.96254363636362
Casuarina equisetifolia,Tampa,Florida,9,151.46544666666668
Washingtonia robusta,San Jose,California,15291,151.3808026682362
Ulmus carpinifolia,Baltimore,Maryland,18,151.28317777777778
Ulmus americana,San Jose,California,888,151.18465405405405
Quercus alba,Baltimore,Maryland,2922,151.01071011635867
Acacia confusa,Kaneohe,Hawaii,60,150.754598
Platanus occidentalis,Tampa,Florida,93,150.54822258064516
Liriodendron tulipifera,Baltimore,Maryland,2684,150.43458163934426
Casuarina cunninghamiana,San Jose,California,36,150.37183333333334
Juglans cinerea,Pittsburgh,Pennsylvania,12,150.37183333333334
Eucalyptus,San Jose,California,1059,149.90557609065155
Eucalyptus cinerea,San Jose,California,120,149.442262
Eucalyptus robusta,Kaneohe,Hawaii,6,149.27822
Quercus phellos,Oklahoma City,Oklahoma,6,149.27822
Populus fremontii,San Jose,California,129,149.16377209302325
Grevillea robusta,San Jose,California,483,147.94346832298137
Pinus sabiniana,Baltimore,Maryland,2,147.6378
Neoblechnum brasiliense,Garden Grove,California,3,147.6378
Magnolia sprengeri,Baltimore,Maryland,4,147.6378
Ficus rubiginosa,Garden Grove,California,87,147.6378
Taxodium ascendens,Baltimore,Maryland,10,147.6378
Pinus bungeana,Baltimore,Maryland,2,147.6378
Acer rubrum,Garden Grove,California,9,147.6378
Populus fremontii,Garden Grove,California,6,147.6378
Pseudotsuga menziesii,Albuquerque,New Mexico,3,147.6378
Acacia melanoxylon,Garden Grove,California,3,147.6378
Eucalyptus saligna,San Jose,California,3,147.6378
Ulmus pumila,Garden Grove,California,6,147.6378
Acacia decurrens,San Jose,California,3,147.6378
Abies nordmanniana,Baltimore,Maryland,4,147.6378
Abies homolepis,Baltimore,Maryland,2,147.6378
Elaeagnus angustifolia,Albuquerque,New Mexico,3,147.6378
Sequoiadendron giganteum,San Jose,California,60,146.81759
Pinus radiata,San Jose,California,930,146.50538103225804
Phoenix canariensis,Garden Grove,California,117,146.37593846153848
Platanus racemosa,San Jose,California,1770,146.0863519322034
Ficus heterophylla,Honolulu,Hawaii,6,145.99738
Fraxinus uhdei,San Jose,California,6546,145.15236071494041
Abies,Santa Rosa,California,465,144.97079458064516
Eucalyptus nicholii,San Jose,California,279,144.6744606451613
Fraxinus nigra,Baltimore,Maryland,10,144.35696000000002
Picea abies,Baltimore,Maryland,806,144.21856228287842
Liriodendron tulipifera,San Jose,California,1833,143.62669119476269
Quercus nigra,Oklahoma City,Oklahoma,87,143.5650331034483
Fraxinus pennsylvanica,Sioux Falls,South Dakota,64305,142.2793242565897
Carya laciniosa,Baltimore,Maryland,6,142.16973333333334
Ulmus thomasi,Baltimore,Maryland,36,142.1697333333333
Platanus occidentalis,Oklahoma City,Oklahoma,597,141.94991155778894
Quercus hemisphaerica,Tampa,Florida,51,141.36560588235295
Peltophorum pterocarpum,Honolulu,Hawaii,108,141.34952333333334
Cochlospermum vitifolium,Honolulu,Hawaii,3,141.07612
Zelkova serrata,Oklahoma City,Oklahoma,24,141.07612
Picea rubens,Sioux Falls,South Dakota,3,141.07612
Dalbergia sissoo,Tampa,Florida,57,140.90344421052632
Cedrus deodara,San Jose,California,1782,140.7115822222222
Platanus orientalis,San Jose,California,990,140.3205326060606
Metasequoia glyptostroboides,Baltimore,Maryland,78,139.81425846153846
Magnolia acuminata,Baltimore,Maryland,4,139.4357
Eucalyptus parvula,San Jose,California,12,139.4357
Eucalyptus polyanthemos,Garden Grove,California,51,138.95322352941176
Liquidambar styraciflua,Tampa,Florida,39,138.9309553846154
Carya illinoinensis,Austin,Texas,2748,138.59758148471616
Albizia saman,Kaneohe,Hawaii,141,138.49333106382977
Tilia cordata,Oklahoma City,Oklahoma,3,137.79528
Liquidambar orientalis,Oklahoma City,Oklahoma,3,137.79528
Pittosporum resiniferum,Honolulu,Hawaii,3,137.79528
Ficus benjamina,Kailua,Hawaii,9,136.70166666666668
Catalpa speciosa,Austin,Texas,9,136.70166666666668
Pinus sabiniana,San Jose,California,9,136.70166666666668
Albizia saman,Kailua,Hawaii,237,136.3832729113924
Platanus acerifolia,Garden Grove,California,1779,136.18528937605396
Fraxinus velutina,Albuquerque,New Mexico,45,136.04549866666667
Tristaniopsis laurina,Garden Grove,California,66,135.70747272727272
Populus,San Jose,California,357,135.69995361344536
Melaleuca quinquenervia,Garden Grove,California,222,135.66716756756756
Ficus,Kaneohe,Hawaii,9,135.60805333333332
Pinus palustris,Tampa,Florida,180,135.5533726666667
Cupressus sempervirens,Garden Grove,California,186,135.46694193548387
Chamaecyparis pisifera,Baltimore,Maryland,24,135.06124666666668
Fagus grandifolia,Baltimore,Maryland,642,133.5434748909657
Washingtonia filifera,San Jose,California,5286,133.34789842224745
Populus trichocarpa,San Jose,California,126,133.34271142857142
Adenanthera pavonina,Honolulu,Hawaii,15,133.202104
Ulmus pumila,Sioux Falls,South Dakota,1458,132.74575670781894
Jacaranda acutifolia,Garden Grove,California,2004,132.41234491017963
Celtis occidentalis,Sioux Falls,South Dakota,4800,132.3982982
Araucaria bidwillii,San Jose,California,9,132.32721333333336
Pinus,Albuquerque,New Mexico,18,132.32721333333333
Ficus macrophylla,Honolulu,Hawaii,99,132.32721333333333
Phoenix dactylifera,Garden Grove,California,159,131.85262641509433
Carya illinoinensis,San Jose,California,210,131.70229142857144
Acer saccharinum,Baltimore,Maryland,5326,131.6968353886594
Pinus elliottii,Tampa,Florida,3447,131.66048040034812
Juglans nigra,Baltimore,Maryland,838,131.64076868735083
Populus fremontii,Albuquerque,New Mexico,15,131.2336
Juglans nigra,San Jose,California,3,131.2336
Albizia saman,Aiea,Hawaii,3,131.2336
Acer paxii,San Jose,California,6,131.2336
Morus rubra,Albuquerque,New Mexico,3,131.2336
Populus alba,Pittsburgh,Pennsylvania,2,131.2336
Erythrina,Honolulu,Hawaii,3,131.2336
Ficus microcarpa,Tampa,Florida,6,131.2336
Acer saccharinum,Albuquerque,New Mexico,3,131.2336
Gleditsia triacanthos,Garden Grove,California,9,131.2336
Robinia pseudoacacia,Garden Grove,California,45,131.2336
Handroanthus impetiginosus,Honolulu,Hawaii,3,131.2336
Ulmus carpinifolia,Oklahoma City,Oklahoma,3,131.2336
Ficus,Kailua,Hawaii,3,131.2336
Quercus ilex,Garden Grove,California,366,131.0991393442623
Prosopis pallida,Honolulu,Hawaii,195,131.0821766153846
Quercus muehlenbergii,Baltimore,Maryland,18,130.86906222222223
Robinia pseudoacacia,Sioux Falls,South Dakota,153,130.84761882352942
Liquidambar styraciflua,San Jose,California,43893,130.4459607067186
Salix nigra,Pittsburgh,Pennsylvania,10,129.921264
Juglans cinerea,Sioux Falls,South Dakota,12,129.59318
Fraxinus velutina,Garden Grove,California,195,128.70987692307693
Quercus durandii,Austin,Texas,27,128.68183555555555
Platanus acerifolia,Albuquerque,New Mexico,534,128.67159573033706
Fraxinus americana,Baltimore,Maryland,4670,128.44874994432547
Salix,Santa Rosa,California,21,128.42145142857143
Cocos nucifera,Kailua,Hawaii,2916,128.29704567901234
Washingtonia robusta,Tampa,Florida,2970,127.97595785858584
Hibiscus tilliaceus,Kaneohe,Hawaii,9,127.95276
Catalpa speciosa,Oklahoma City,Oklahoma,3,127.95276
Eucalyptus,Honolulu,Hawaii,18,127.95276
Rhamnus caroliniana,Oklahoma City,Oklahoma,3,127.95276
Enterolobium contortisiliquum,Tampa,Florida,21,127.71841428571427
Cedrus deodara,Garden Grove,California,96,127.64518125000001
Quercus rubra,Oklahoma City,Oklahoma,153,127.63110901960783
Eucalyptus torquata,San Jose,California,15,127.29659199999999
Ficus microcarpa,Garden Grove,California,285,127.26205684210528
Acer saccharinum,San Jose,California,2430,127.2358357037037
Tilia euchlora,Baltimore,Maryland,8,127.13255000000001
Sabal mexicana,San Jose,California,12,127.13255
Platanus mexicana,Austin,Texas,45,126.85914666666667
Fraxinus velutina,San Jose,California,7131,126.77127113167859
Acer saccharinum,Oklahoma City,Oklahoma,114,126.39867789473685
Callistemon viminalis,Garden Grove,California,81,126.37309629629631
Quercus stellata,Oklahoma City,Oklahoma,1752,126.2336897260274
Platanus occidentalis,Austin,Texas,93,126.15358967741936
Platanus acerifolia,San Jose,California,78744,125.86854914279184
Platanus occidentalis,Baltimore,Maryland,1460,125.79998964383562
Roseodendron donnell-smithii,Kaneohe,Hawaii,12,125.49213000000002
Salix matsudana,Albuquerque,New Mexico,27,125.40099555555555
Zelkova serrata,San Jose,California,22908,125.30394143006811
Liquidambar formosana,San Jose,California,24,125.082025
Juniperus virginiana,Albuquerque,New Mexico,30,125.000004
Ficus religiosa,Tampa,Florida,3,124.67192
Maclura pomifera,Austin,Texas,3,124.67192
Ginkgo biloba,Austin,Texas,3,124.67192
Koelreuteria bipinnata,Garden Grove,California,657,124.6419579908676
Ulmus pumila,San Jose,California,1284,124.20432364485983
Magnolia,Garden Grove,California,21,124.20322857142858
Carya illinoinensis,Tampa,Florida,24,124.0567625
Tilia cordata,Sioux Falls,South Dakota,9291,123.80324424927348
Gleditsia triacanthos,Sioux Falls,South Dakota,6996,123.7616697941681
Cupressus arizonica,Albuquerque,New Mexico,54,123.57830666666668
Tamarindus indica,Honolulu,Hawaii,15,123.359584
Populus alba,Baltimore,Maryland,10,123.359584
Washingtonia robusta,Huntington Beach,California,12111,123.11480099083478
Radermachera sinica,Garden Grove,California,6,123.03150000000001
Eucalyptus robusta,Garden Grove,California,12,123.03150000000001
Zelkova serrata,Garden Grove,California,12,123.0315
Pithecellobium dulce,Honolulu,Hawaii,18,123.0315
Harpephyllum caffrum,Garden Grove,California,18,123.0315
Quercus suber,Garden Grove,California,6,123.0315
Roseodendron chryseum,Honolulu,Hawaii,6,123.0315
Melia azedarach,Garden Grove,California,12,123.0315
Calophyllum inophyllum,Honolulu,Hawaii,66,122.88237090909092
Quercus stellata,Baltimore,Maryland,144,122.84923111111112
Liquidambar styraciflua,Garden Grove,California,1095,122.69442739726028
Platanus acerifolia,Pittsburgh,Pennsylvania,6442,122.57772346476249
Quercus laurifolia,Tampa,Florida,3003,122.48152502297702
Acer saccharinum,Garden Grove,California,54,122.12015555555556
Quercus geminata,Tampa,Florida,9231,122.11474139356515
Aesculus flava,Baltimore,Maryland,110,121.98759636363636
Corymbia ficifolia,Garden Grove,California,114,121.73643157894736
Pinus strobus,Baltimore,Maryland,2196,121.67494138433516
Pinus,Santa Rosa,California,72,121.66448333333334
Quercus velutina,Tampa,Florida,3,121.39108
Sterculia apetala,Honolulu,Hawaii,12,121.39108
Phoenix canariensis,Huntington Beach,California,984,121.3810774390244
Ulmus rubra,Oklahoma City,Oklahoma,60,121.227038
Butia capitata,Garden Grove,California,24,120.980975
Acacia melanoxylon,San Jose,California,528,120.92505159090909
Mangifera indica,Honolulu,Hawaii,21,120.92238857142857
Salix,Sioux Falls,South Dakota,69,120.82049913043477
Pinus pinea,Austin,Texas,15,120.734912
Quercus macrocarpa,Oklahoma City,Oklahoma,726,120.52341983471075
Hymenosporum flavum,Garden Grove,California,210,120.45369714285714
Platanus acerifolia,Oklahoma City,Oklahoma,270,120.44328177777777
Sophora japonica,Pittsburgh,Pennsylvania,40,120.40682799999999
Carya cordiformis,Baltimore,Maryland,88,120.34717636363638
Albizia lebbeck,Honolulu,Hawaii,9,120.29746666666668
Cedrus,Santa Rosa,California,27,119.9329288888889
Swietenia mahagoni,Honolulu,Hawaii,429,119.85390321678322
Bauhinia variegata,Kaneohe,Hawaii,6,119.75066
Carya cordiformis,Pittsburgh,Pennsylvania,14,119.51631428571429
Spathodea campanulata,Kailua,Hawaii,33,119.30327272727274
Pinus pinea,Garden Grove,California,114,119.14629473684211
Ficus benghalensis,Honolulu,Hawaii,159,119.10068226415095
Ulmus rubra,Baltimore,Maryland,900,119.09449199999999
Koelreuteria elegans,Honolulu,Hawaii,21,119.04762285714284
Robinia pseudoacacia,Baltimore,Maryland,2204,118.99743629764066
Prunus serotina,Baltimore,Maryland,1086,118.94404464088399
Acer negundo,Tampa,Florida,6,118.93045000000001
Podocarpus gracilior,Garden Grove,California,267,118.3314202247191
Cecropia peltata,Honolulu,Hawaii,3,118.11024000000002
Aesculus flava,Sioux Falls,South Dakota,3,118.11024000000002
Quercus alba,Oklahoma City,Oklahoma,3,118.11024000000002
Picea,Albuquerque,New Mexico,3,118.11024000000002
Catalpa speciosa,Garden Grove,California,15,118.11024
Cupressus sempervirens,Kaneohe,Hawaii,9,118.11024
Acer saccharinum,Pittsburgh,Pennsylvania,866,117.89808406466513
Pinus taeda,Baltimore,Maryland,126,117.79777904761904
Fraxinus excelsior,Baltimore,Maryland,14,117.64154857142857
Morus alba,Garden Grove,California,216,117.56343333333334
Cedrus atlantica,San Jose,California,207,117.20682028985507
Ulmus pumila,Huntington Beach,California,45,117.01662666666667
Pinus halepensis,San Jose,California,1851,116.79152311183144
Schinus terebinthifolius,Garden Grove,California,819,116.75223663003663
Ulmus americana,Sioux Falls,South Dakota,558,116.69912602150538
Paulownia tomentosa,Baltimore,Maryland,122,116.65806491803279
Catalpa longissima,Honolulu,Hawaii,204,116.56631529411766
Fraxinus,Pittsburgh,Pennsylvania,216,116.34830740740742
Cinnamomum camphora,Garden Grove,California,294,116.3359081632653
Ulmus americana,Austin,Texas,696,116.10213965517242
Pinus radiata,Garden Grove,California,42,116.00112857142858
Acer negundo,Sioux Falls,South Dakota,774,115.66868465116278
Quercus laevis,Tampa,Florida,222,115.64961
Juniperus,Albuquerque,New Mexico,51,115.21538117647059
Hymenosporum flavum,San Jose,California,3,114.8294
Cupressus leylandii,Garden Grove,California,18,114.8294
Cinnamomum glanduliferum,San Jose,California,141,114.8294
Robinia pseudoacacia,Oklahoma City,Oklahoma,93,114.8294
Ficus stricta,Honolulu,Hawaii,6,114.8294
Pinus koraiensis,Baltimore,Maryland,2,114.8294
Acer platanoides,Albuquerque,New Mexico,3,114.8294
Cedrus atlantica,Garden Grove,California,9,114.8294
Bombax,Honolulu,Hawaii,3,114.8294
Cedrus libani,Baltimore,Maryland,2,114.8294
Pinus rigida,Baltimore,Maryland,2,114.8294
Quercus acutissima,San Jose,California,9,114.8294
Eucalyptus rudis,San Jose,California,3,114.8294
Catalpa speciosa,Albuquerque,New Mexico,3,114.8294
Carya illinoensis,Pittsburgh,Pennsylvania,2,114.8294
Grevillea robusta,Honolulu,Hawaii,6,114.8294
Populus,Baltimore,Maryland,4,114.8294
Adansonia digitata,Honolulu,Hawaii,33,114.82939999999999
Fraxinus,Albuquerque,New Mexico,417,114.75859050359713
Casuarina equisetifolia,Honolulu,Hawaii,87,114.71626758620691
Quercus palustris,Oklahoma City,Oklahoma,99,114.63056121212121
Pittosporum undulatum,Garden Grove,California,120,114.41929499999999
Ulmus pumila,Baltimore,Maryland,1280,114.368031875
Chamaecyparis lawsoniana,Baltimore,Maryland,54,114.22183703703703
Acer nigrum,Baltimore,Maryland,52,114.19846923076923
Celtis occidentalis,Oklahoma City,Oklahoma,552,113.56342369565218
Liquidambar,San Jose,California,42,113.42332571428572
Terminalia catappa,Kailua,Hawaii,54,113.3712488888889
Ficus benjamina,Honolulu,Hawaii,153,113.02815450980391
Lophostemon confertus,Garden Grove,California,4929,112.97232075471699
Araucaria heterophylla,Garden Grove,California,129,112.92193488372092
Hovenia dulcis,Baltimore,Maryland,10,112.860896
Ulmus americana,Oklahoma City,Oklahoma,879,112.76907726962457
Roystonea,Honolulu,Hawaii,132,112.66702818181818
Acer pseudoplatanus,Baltimore,Maryland,80,112.45079100000001
Quercus nigra,Tampa,Florida,75,112.44094848
Maclura pomifera,Baltimore,Maryland,94,112.38622127659575
Pinus clausa,Tampa,Florida,27,112.09536666666666
Quercus rubra,Baltimore,Maryland,5698,112.07483022815022
Quercus,Tampa,Florida,99,112.04565696969696
Spathodea campanulata,Honolulu,Hawaii,282,112.03719574468086
Ulmus pumila,Pittsburgh,Pennsylvania,418,111.95670277511962
Quercus acutissima,Oklahoma City,Oklahoma,345,111.80532139130435
Fraxinus angustifolia,San Jose,California,16863,111.73533616082548
Cupaniopsis anacardioides,Garden Grove,California,4314,111.55540458970793
Quercus laevis,Temple Terrace,Florida,9,111.54856000000001
Quercus falcata,Oklahoma City,Oklahoma,6,111.54856000000001
Pinus sylvestris,Albuquerque,New Mexico,33,111.54856
Acer platanoides,Sioux Falls,South Dakota,17112,111.44215126928471
Liquidambar styraciflua,Oklahoma City,Oklahoma,165,111.42925672727273
Pseudotsuga menziesii,Baltimore,Maryland,72,111.18402222222223
Salix,Baltimore,Maryland,8,110.72835
Arbutus unedo,Garden Grove,California,12,110.72834999999999
Sequoia sempervirens,Garden Grove,California,12,110.72834999999999
Quercus palustris,Baltimore,Maryland,4854,110.63203362175524
Pterocarpus dalbergioides,Kailua,Hawaii,138,110.55004347826086
Lagerstroemia indica,Honolulu,Hawaii,9,110.45494666666667
Pinus pinea,San Jose,California,1620,110.32128281481481
Juniperus virginiana,Tampa,Florida,162,110.21192148148147
Cocculus laurifolius,Garden Grove,California,63,110.14248571428571
Quercus shumardii,Oklahoma City,Oklahoma,1149,109.9809523759791
Populus nigra,Baltimore,Maryland,38,109.82180210526315
Alnus rhombifolia,Garden Grove,California,39,109.78195384615385
Cinnamomum camphora,Tampa,Florida,516,109.71357855813953
Acer saccharum,Sioux Falls,South Dakota,3822,109.69182087912087
Robinia pseudoacacia,San Jose,California,2406,109.63814568578555
Sabal palmetto,Austin,Texas,15,109.580056
Quercus acutissima,Baltimore,Maryland,1752,109.54110538812786
Quercus marilandica,Oklahoma City,Oklahoma,969,109.52723752321982
Platanus acerifolia,Baltimore,Maryland,12112,109.40377044253634
Pinus pinea,Albuquerque,New Mexico,9,109.36133333333333
Cedrus deodara,Baltimore,Maryland,42,109.20510285714285
Acer nigrum,Sioux Falls,South Dakota,108,109.17906444444445
Albizia saman,Honolulu,Hawaii,2154,109.04908997214486
Quercus nigra,Baltimore,Maryland,18,108.99679555555556
Ficus microcarpa,Kailua,Hawaii,30,108.923888
Quercus fusiformis,Austin,Texas,1770,108.61248623728812
Fraxinus pennsylvanica,Baltimore,Maryland,2222,108.45671528352835
Cupressus macrocarpa,San Jose,California,81,108.3892325925926
Taxodium distichum,Austin,Texas,492,108.32773536585367
Ceratonia siliqua,Garden Grove,California,90,108.26772000000001
Liriodendron tulipifera,Garden Grove,California,15,108.26772000000001
Carya illinoinensis,Sioux Falls,South Dakota,6,108.26772
Juniperus monosperma,Albuquerque,New Mexico,3,108.26772
Bauhinia variegata,Honolulu,Hawaii,3,108.26772
Pinus muricata,San Jose,California,15,108.26772
Peltophorum pterocarpum,Tampa,Florida,3,108.26772
Acer platanoides,Oklahoma City,Oklahoma,3,108.26772
Carya tomentosa,Baltimore,Maryland,144,107.99431666666666
Fraxinus,Sioux Falls,South Dakota,93,107.95021935483871
Pterocarpus dalbergioides,Honolulu,Hawaii,393,107.84196213740458
Quercus,Santa Rosa,California,1404,107.81905811965811
Liquidambar orientalis,San Jose,California,21,107.79902857142856
Quercus robur,San Jose,California,273,107.61876263736264
Chrysophyllum oliviforme,Honolulu,Hawaii,240,107.365489
Jacaranda mimosifolia,Honolulu,Hawaii,21,107.33033714285715
Ulmus parvifolia,San Jose,California,7809,107.09176006146754
Quercus marilandica,Tampa,Florida,12,107.03740499999999
Sabal mexicana,Austin,Texas,27,106.80956888888889
Cupressus arizonica,Baltimore,Maryland,4,106.6273
Ficus elastica,San Jose,California,6,106.6273
Maclura pomifera,Tampa,Florida,3,106.6273
Celtis reticulata,Albuquerque,New Mexico,12,106.6273
Celtis reticulata,San Jose,California,6,106.6273
Quercus rubra,Austin,Texas,6,106.6273
Celtis occidentalis,San Jose,California,1251,106.37946676258991
Fraxinus,San Jose,California,3417,106.34645548726954
Picea omorika,Baltimore,Maryland,6,106.08049333333334
Pritchardia,Kailua,Hawaii,9,106.08049333333332
Populus deltoides,Baltimore,Maryland,152,106.06610368421052
Gymnocladus dioicus,Baltimore,Maryland,222,105.99182198198199
Phoenix canariensis,San Jose,California,1887,105.85272966613674
Gleditsia triacanthos,Oklahoma City,Oklahoma,354,105.84879559322033
Quercus robur,Oklahoma City,Oklahoma,93,105.83354838709678
Ficus lyrata,Honolulu,Hawaii,84,105.68991714285714
Chrysophyllum oliviforme,Kailua,Hawaii,153,105.05121019607843
Salix matsudana,Pittsburgh,Pennsylvania,14,104.98688000000001
Syzygium malaccense,Honolulu,Hawaii,3,104.98688
Ceiba speciosa,Garden Grove,California,90,104.98688
Salix nigra,Sioux Falls,South Dakota,3,104.98688
Piscidia piscipula,Honolulu,Hawaii,15,104.98687999999999
Cocos nucifera,Kaneohe,Hawaii,312,104.95533346153846
Liquidambar styraciflua,Pittsburgh,Pennsylvania,1776,104.84278905405407
Metrosideros excelsa,Garden Grove,California,165,104.68862181818182
Jacaranda mimosifolia,Tampa,Florida,15,104.658796
Metasequoia glyptostroboides,San Jose,California,24,104.576775
Tsuga canadensis,Baltimore,Maryland,280,104.47131942857143
Ulmus americana,Baltimore,Maryland,3188,104.3735234629862
Quercus virginiana,Tampa,Florida,14436,104.22496422693267
Quercus incana,Tampa,Florida,270,104.02085488888888
Fraxinus americana,Sioux Falls,South Dakota,1077,103.97246986072423
Pinus eldarica,San Jose,California,27,103.89326666666666
Carya glabra,Tampa,Florida,81,103.55303140740742
Populus nigra,Pittsburgh,Pennsylvania,8,103.34646
Tilia americana,Sioux Falls,South Dakota,2199,103.18756529331515
Diospyros virginiana,Oklahoma City,Oklahoma,36,103.07305666666667
Pyrus kawakamii,Garden Grove,California,2130,103.02299690140845
Cinnamomum camphora,San Jose,California,14487,102.86442314350796
Mangifera indica,Kaneohe,Hawaii,21,102.64342285714285
